SEASON,DATE,ROUND,BOWL,CFP TV RATINGS HISTORY SportsMediaWatch.com MATCHUP,MARGIN,Network,Nielsen,Viewers,Format
2005,Monday 01.02.06,BCS,Fiesta,OHIO STATE / NOTRE DAME,OSU +14,ABC,12.9,20601000,BCS
2005,Tuesday 01.03.06,BCS,Orange,PENN STATE / FLORIDA STATE,PSU+3(30T),ABC,12.3,18557000,BCS
2005,Monday 01.02.06,BCS,Sugar,WEST VIRGINIA / GEORGIA,WVU +3,ABC,9,13590000,BCS
2004,Tuesday 01.04.05,NC,Orange,USC / OKLAHOMA,USC +34,ABC,13.7,21419000,BCS
2004,Saturday 01.01.05,BCS,Rose,TEXAS / MICHIGAN,TEX +1,ABC,12.4,20458000,BCS
2004,Monday 01.03.05,BCS,Sugar,AUBURN / VIRGINIA TECH,AUB +3,ABC,9.5,14198000,BCS
2004,Saturday 01.01.05,BCS,Fiesta,UTAH / PITTSBURGH,UTAH +28,ABC,7.4,12216000,BCS
2003,Sunday 01.04.04,NC,Sugar,LSU / OKLAHOMA,LSU +7,ABC,14.8,23937000,BCS
2003,Thursday 01.01.04,BCS,Rose,USC / MICHIGAN,USC +14,ABC,14.3,23871000,BCS
2003,Thursday 01.01.04,BCS,Orange,MIAMI / FLORIDA STATE,1 MIA +2,ABC,9.1,14183000,BCS
2003,Friday 01.02.04,BCS,Fiesta,OHIO STATE / KANSAS STATE,OSU +7,ABC,8.5,13690000,BCS
2002,Friday 01.03.03,NC,Fiesta,OHIO STATE / MIAMI,OSU +7,ABC,17.2,29104000,BCS
2002,Wednesday 01.01.03,BCS,Rose,OKLAHOMA / WASHINGTON STATE,OKLA +20,ABC,11.3,18298000,BCS
2002,Thursday 01.02.03,BCS,Orange,USC / IOWA,USC +21,ABC,9.7,15235000,BCS
2002,Wednesday 01.01.03,BCS,Sugar,GEORGIA / FLORIDA STATE,UGA +13,ABC,9.2,15107000,BCS
2002,Thursday 01.03.02,NC,Rose,MIAMI / NEBRASKA,MIA +23,ABC,13.8,21559000,BCS
2001,Tuesday 01.01.02,BCS,Fiesta,OREGON / COLORADO,ORE +22,ABC,11.3,18229000,BCS
2001,Wednesday 01.02.02,BCS,Orange,FLORIDA / MARYLAND,UF +33,ABC,9.5,14027000,BCS
2001,Tuesday 01.01.02,BCS,Sugar,LSU / ILLINOIS,LSU +13,ABC,8.6,13058000,BCS
2000,Wednesday 01.03.01,NC,Orange,OKLAHOMA / FLORIDA STATE,OKLA +11,ABC,17.8,27240000,BCS
2000,Monday 01.01.01,BCS,Rose,WASHINGTON / PURDUE,WASH +10,ABC,14,,BCS
2000,Tuesday 01.02.01,BCS,Sugar,MIAMI / FLORIDA,MIA +17,ABC,13,19783000,BCS
2000,Monday 01.01.01,BCS,Fiesta,OREGON STATE / NOTRE DAME,ORST +32,ABC,10.7,17475000,BCS
1999,Tuesday 01.04.00,NC,Sugar,FLORIDA STATE / VIRGINIA TECH,FSU+17,ABC,17.5,26962000,BCS
1999,Saturday 01.01.00,BCS,Rose,WISCONSIN / STANFORD,WISC +8,ABC,14.1,,BCS
1999,Saturday 01.01.00,BCS,Orange,MICHIGAN / ALABAMA,MICH +1 ,ABC,11.4,17000000,BCS
1999,Sunday 01.02.00,BCS,Fiesta,NEBRASKA / TENNESSEE,NEB +10,ABC,9.6,14400000,BCS
1998,Monday 01.04.99,NC,Fiesta,TENNESSEE / FLORIDA STATE,TENN +7,ABC,17.2,26112000,BCS
1998,Friday 01.01.99,BCS,Rose,WISCONSIN / UCLA,WISC+7,ABC,13.3,,BCS
1998,Friday 01.01.99,BCS,Sugar,OHIO STATE / TEXAS A&M,OSU +10,ABC,11.5,,BCS
1998,Saturday 01.02.99,BCS,Orange,FLORIDA / SYRACUSE,UF +21,ABC,8.4,,BCS
